 ID,Company Name,LOCATION,Lat Long,Test ID 1,Test ID 2,Service Type 1,Service Type 2,Service Type 3,Abbv.,Text Description,Phone Number,Phone 2,Extension,Web Address,Main Email,State,Zip Code,County,Region,Hours,Hours of Service,Main Name,Main First,Main Last,Main Contact Position,Main Contact Phone,Main Contact Email,Secondary Name,Secondary First Name,Secondary Last Name,Secondary Contact Position,Secondary Contact Phone,Secondary Contact Email,Image,SEARCH INDEX,Tags,Notes,Verified,ChannelUsers,Replies Often?,Contacted Often?,Has Been Interviewed?,Draft?,Street View URL,Map Embed URL,Relevant Resources,Resource Types,Favorited,Created,Updated
478,Bethesda Project – Our Brother's Place,"907 Hamilton St, Philadelphia, PA 19123, USA","39.960202196333896, -75.15385086327814",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-17T18:55:14.830Z,2024-12-10T19:42:15.784Z
477,Bethesda Project – My Brother's House,"609 S 15th St, Philadelphia, PA 19146, USA","39.943579106213605, -75.16718313489362",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-17T18:54:45.204Z,2024-12-10T19:42:47.086Z
476,Bethesda Project Office,"1630 South St, Philadelphia, PA 19146, USA","39.94412507745815, -75.16981623125758",,,,,,,,,,,https://www.bethesdaproject.org/our-locations,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-17T18:52:54.122Z,2024-12-10T19:43:29.948Z
475,Philly House,"302 N 13th St, Philadelphia, PA 19107, USA","39.958032618478384, -75.16027974895924",,,,,,,formerly known as Sunday Breakfast Rescue Mission.,(215) 922-6400,,,https://www.phillyhouse.org/,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-17T18:46:19.744Z,2024-12-10T19:44:39.417Z
474,North Philadelphia Municipal Services Center,"2761 N 22nd St, Philadelphia, PA 19132, USA","39.997023305747845, -75.16714083951064",,,,,,,,(267) 271-4973,(215) 821-4324,,,,,,,,"Monday–Thursday, 10 a.m.–3 p.m.",,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-17T18:42:55.782Z,2024-12-10T19:45:17.996Z
473,Esperanza Health Center ,"4417 N 6th St, Philadelphia, PA 19140, USA","40.01906715995974, -75.1366876847415",,,,,,,,215-302-3600,215-302-3150,,https://esperanzahealth.com/,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-17T18:36:06.226Z,2024-12-10T19:46:02.292Z
472,United Communities Southeast Philadelphia Houston Center,"2029 S 8th St, Philadelphia, PA 19148, USA","39.923224357510435, -75.15960224025156",,,,,,,,(215) 468-1645,,7200,,,,,,,"Monday–Friday, 9 a.m.–5 p.m.",,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-17T18:32:36.463Z,2024-12-10T19:46:39.938Z
471,Philadelphia FIGHT,"1207 Chestnut St 3rd floor, Philadelphia, PA 19107, USA","39.95051732018559, -75.16050175338661",,,,,,,,(215) 525-8636,,,,,,,,,"Monday–Friday, 9 a.m.–5 p.m.",,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-17T18:19:39.132Z,2024-12-10T19:48:33.370Z
470,BenePhilly Center,"2029 S 8th St, Philadelphia, PA 19148, USA","39.923246470243654, -75.15960559299262",,,,,,,,844-848-4376,,,,,,,,,"Monday through Friday, 9 a.m to 5 p.m.",,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-17T18:18:42.692Z,2024-12-10T19:46:47.494Z
469,Pennsylvania's County Assistance Office,"5070 Parkside Ave, Philadelphia, PA 19131, USA","39.980375369983776, -75.22160265678014",,,,,,,,215-560-5500,215-560-1495,,https://www.pa.gov/en/agencies/dhs/contact/cao-information.html,,,,,,8 a.m.-5 p.m.,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-17T18:15:18.888Z,2024-12-10T21:53:51.289Z
468,Philadelphia Access Center,"1832 S 11th St, Philadelphia, PA 19148, USA","39.926238866544, -75.16398586496945",,,,,,,"The Philadelphia Access Center began as a social services information and referral center. More than twenty years later, social services is still the largest part of our ministry. Our compassionate social service case coordinators meet with guests one-on-one to work through whatever issues they are facing. From navigating a crisis to simply answering questions, our case coordinators are here to be good neighbors to anyone in need.

Information, referrals, and advocacy are available for a multitude of resources, including (but not limited to) food, clothing, emergency shelter, housing, substance abuse, children's resources, senior programs, public assistance, and many others.",(215) 389-1985,(215) 389-1987,,www.philaccess.org,pacinfo@philaccess.org,,19148,,,"Monday-Thursday, 9:00 AM - 3:00 PM
Friday, 9:00 AM - 12:30 PM",,Ken Melloni,Ken,Melloni,Director,,kjm@philaccess.org,Joe Welch,Joe,Welch,Counselor,,jwelch@philaccess.org,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-17T18:09:23.147Z,2024-12-10T19:52:58.193Z
467,Lifeline Phone Service,,"39.9526, -75.1652",,,,,,"The process for applying for Lifeline is separate from other benefits applications programs and can be completed online, over the phone, or via the mail. Individuals have a wide range of plans available to them depending on the selected carrier so it is important to compare plans and select the one that best meets your needs and service area. The application for Lifeline can be completed any time online here: https://nv.fcc.gov/lifeline",,800-234-9473,,,https://www.lifelinesupport.org/get-started/,lifelinesupport@usac.org,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-17T18:00:28.347Z,2025-08-20T16:02:46.728Z
466,Office of Homeless Services,,"39.9526, -75.1652",,,,,,OHS,"Offers emergency shelters, transitional housing, and support services for individuals experiencing homelessness.",,,,https://www.phila.gov/departments/office-of-homeless-services/,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-17T17:58:17.943Z,2025-08-20T16:02:58.223Z
465,Mady's Hands,"1952 N 24th St, Philadelphia, PA 19121, USA",,,,,,,,"Our services include the following: Food Pantry Nursery Pantry including Diapers, clothing and other baby items. HIV Testing Kits (Take Home) Clothing Bank (availability varies-please call to see if we have your size, if not we have a referral for you).",267-825-5628,,,,admin@sistatalkphl.org,,,,,Monday: 1pm-5pm Tuesday: 1pm-5pm Wednesday: 1pm-5pm Thursday: By Appt. Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-17T17:57:47.051Z,2024-10-17T17:57:47.051Z
461,Office of Reentry Partnerships,"1425 Arch St floor 1, Philadelphia, PA 19102, USA","39.95475670772454, -75.16441048535275",,,,,,ORP,,215-683-3370,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-17T17:39:45.558Z,2024-12-10T21:54:45.372Z
460,Office of Reentry and Community Services,,"39.9526, -75.1652",,,,,,ORCS,,,,,https://www.compass.dhs.pa.gov/home/#/,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-17T17:34:10.818Z,2025-08-20T16:03:39.581Z
458,Philadelphia Reentry Coalition,"1425 Arch St, Philadelphia, PA 19102, USA","39.954685031964885, -75.16421448393164",,,,,,,,215-683-3370,,,https://www.phlreentrycoalition.org/,,,19102,,,"Mon - Fri: 9am - 5pm
​​Saturday and Sunday: Closed",,Kierra Nocho,,,,,kierra.nocho@phila.gov,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-17T17:32:32.625Z,2024-12-10T20:01:48.712Z
455,Friends Rehabilitation Program,"704 W Girard Ave, Philadelphia, PA 19123, USA","39.970295254522235, -75.14846406444201",,,,,,,"FRP answers the call to social justice and ecological sustainability by supporting the marginalized and vulnerable in the Philadelphia region with housing, life-skill and job readiness resources through social services, partnerships, and programs for training and jobs.

Our Mission is to have a racially and economically just Philadelphia region where communities that once experienced economic neglect are thriving, and have safe, energy-efficient, and attainable housing opportunities, vibrant green space, and an abundance of resources to meet the needs of the vulnerable. ",(215) 825-8800,(215) 923-1539,,https://friends-frp.org/,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-16T20:57:40.671Z,2024-12-10T20:05:23.413Z
454,First Step Staffing Philadelphia,"1231 N Broad St, Philadelphia, PA 19122, USA","39.97296395495297, -75.15892361878328",,,Education,Wellness,Employment,,"Our process starts with an in-depth evaluation that assesses work history, technical skills, and living situations and identifies other barriers to employment. After an in-person orientation and a one-on-one meeting with a job coach, clients are matched with an employer and placed in a job within 48-72 hours. Through partnerships with public transportation and Enterprise Rideshare, we provide clients with transportation to and from work. The First Step team also coordinates closely with other nonprofits to connect clients to resources and services such as housing, healthcare, food and clothing needs, and more that they need to develop a stable path out of poverty and homelessness.

Looking for more than just a paycheck? At First Step Staffing, we understand that the right job can open doors to lasting financial independence. We don’t just offer employment; we provide the opportunity to build a stable, fulfilling future.

When you join us, you gain more than a job—you gain access to tailored training, steady support, and the tools you need to grow professionally and personally. With the right guidance and confidence, a job becomes a pathway to success that can transform your life.",(215) 333-3349,(833) 539-3059,,www.firststepstaffing.com,,,19122,,,,,Trevor Turner,,,"Vice President, General Manager of Philadelphia Region",888-888-8888,Example@Email.com,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-16T20:57:37.453Z,2025-08-21T18:09:29.063Z
453,Action Wellness,"1216 Arch St 6th floor, Philadelphia, PA 19107, USA","39.953971669578856, -75.16035491832508",,,Benefits,Life Skills,Wellness,,"Action Wellness has a range of support services they offer to the philadelphia area, please look below for more information.",(215) 981-0088,,,www.actionwellness.org,,,,,,,,Mary Evelyn Torres,,,Executive Director,888-888-8888,Example@Email.com,Adrienne Crain,,,Assistant Director of Client Services,888-888-8888,Example@example.com,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-16T20:57:29.763Z,2025-08-21T18:01:24.926Z
452,People for People,"800 N Broad St, Philadelphia, PA 19130, USA","39.9680763723405, -75.1604021137865",,,,,,PFP,"Founded on a vision of bringing transformation to North Central Philadelphia and beyond, People for People, Inc. (PFP) is a non-profit organization established by Herbert H. Lusk, II that is dedicated to bringing the kind of life-changing assistance to Philadelphians which helps them construct new futures for themselves and their families.

The guiding mission of PFP is to break the vicious, generational cycle of poverty in the lives of economically-challenged residents of Philadelphia by providing them with positive alternatives to drugs, crime, and welfare dependency. Recognizing the complex and inter-connected obstacles facing low-income urban residents, PFP provides support services to residents and links distressed neighborhoods with concerned leadership and available resources. PFP facilitates the development of personal responsibility, accountability and self-reliance.",(215) 235-2340,,,www.peopleforpeople.org,info@peopleforpeople.org,,19130,,,"Mon-Fri
9 AM - 5 PM",,,,,,,,,,,,,,"{'url':'7c65b9d48e52a39a1f7f5ffac4eeca3aa3cc041ff426b9d4a44ddb4d6e20e266.png','size':30914,'width':185,'height':128,'filename':'p4p-logo.png','metadata':{'width':185,'height':128,'blurHash':'eWP%R]t7?b%Mxb~qt7o2xajb%MfQt7t7RjayM{%Mt7M{?Is;IUayR%','blurHashWidth':32}}",,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-16T20:57:25.933Z,2024-12-10T20:23:25.482Z
451,Diversified Community Services,"1920 S 20th St, Philadelphia, PA 19145, USA","39.92752914112552, -75.17893299807966",,,,,,DCS,,(215) 336-3511,,,www.dcsphila.org,,,19145,,,Open 24 Hours,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-16T20:57:22.435Z,2024-12-10T20:25:54.872Z
450,Philadelphia Works,"1617 John F Kennedy Blvd Bridge 13th floor, Philadelphia, PA 19103, USA","39.952968607295865, -75.16650114854545",,,,,,,,(215) 963-2100,,,www.philaworks.org,info@philaworks.org,,19103,,,,,John Daly,,,Compliance & EEO Officer,,,"Tyrone Hampton, Jr.",,,"Director, Workforce Partnerships",,thampton@philaworks.org,"{'url':'5292396e2b4de053093c96a6ef1eca2ec05593d6f2fdc203735e2f85cdaa31f4.jpg','size':86128,'width':1399,'height':734,'filename':'PW_Logo.jpg','metadata':{'width':1399,'height':734,'blurHash':'eQRMh|tRxt%2of?HRjofofay~qoeRktRWC~qt7R*j]fkV@ofj[Riay','blurHashWidth':32}}",,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-16T20:57:17.610Z,2024-12-10T20:37:30.206Z
449,Urban League of Philadelphia,"1500 John F Kennedy Blvd, Philadelphia, PA 19102, USA","39.953510510262284, -75.16567932722344",,,,,,,"Since 1917, the Urban League of Philadelphia has worked to make a difference in our community. As a proud affiliate of the National Urban League, one of the nation's oldest community-driven movements, our focus has always been on helping disenfranchised urban communities thrive. Our mission is to support Black Americans and other historically marginalized groups by promoting social equality, economic independence, and civil rights. We do this through programming for youth, education, job training, housing, workforce development,  re-entry, entrepreneurship, economic development, and health equity. With the support of a strong board, skilled staff, and passionate volunteers, we’re committed to building a future where everyone has the opportunity to succeed.",(215) 985-3220,,,www.urbanleaguephila.org,info@urbanleaguephila.org,,19102,,One Penn Center,,,Dennis Nicholson,,,Director of Re-entry Programs & Services,(215) 985-3220 ext. 219,dnicholson@urbanleaguephila.org,Mary Harper,,,"Director, Office of Housing and Diversion Services",(215) 985-3220 ext. 237,mharper@urbanleaguephila.org,"{'url':'8efcfa9d59985a3c1a445c5fb184260f0b4e386f546fc7659bc78ce7926aadcb.png','size':28720,'width':1500,'height':576,'filename':'https___cdn.evbuc.com_images_856657129_398437918687_1_original.png','metadata':{'width':1500,'height':576,'blurHash':'eUS63[rDrYxutR^+jFaeofkC.8X8NGt7j[~qV@aej[kCWBj[t7WBa|','blurHashWidth':32}}",,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-16T20:57:12.161Z,2024-12-10T20:47:51.703Z
448,IMPACT Services Corporation,"1952 E Allegheny Ave suite 500, Philadelphia, PA 19134, USA","39.99433255894427, -75.11174495566915",,,,,,,"Since 1974, we have been working in the Kensington neighborhood of Philadelphia to help people re-enter the workforce, find stable housing, and help build community. Over the last two decades we have also built a continuum of housing services in an effort to end homelessness.

The foundation of our work lies in our ability to nurture partnerships with other mindful organizations. By aligning missions, resources, and creativity, we’re able to muster the latent energy in our community.",(215) 739-1600,,,www.impactservices.org,info@impactservices.org,,19134,,,,,Joe Douglas,,,Director of Workforce Development,,info@impactservices.org,Marc Kelly,,,Director of Learning and Evaluation,,N/A,"{'url':'21fdd2b0b68a116bed0cef43d5e32b975f7dda9fbda6fcf958c7df699cdfec57.png','size':6284,'width':1244,'height':287,'filename':'Impact_Logo-01.png','metadata':{'width':1244,'height':287,'blurHash':'eYONX#j^jYxuoJt.ozt7%LofodjZM|oeRj?wxtIpRkWVE2t7R*bHWV','blurHashWidth':32}}",,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-16T20:57:07.509Z,2025-08-14T14:42:33.639Z
447,I'm FREE -Females Reentering Empowering Each Other,"4700 Wissahickon Ave, Philadelphia, PA 19144, USA","40.01626455272381, -75.17405063220131",,,,,,,"I’m FREE – Females Reentering Empowering Each Other, a woman-centered organization, advances the life chances of women transitioning from corrections to community by advocating for gender-responsive, trauma-informed care; providing consultation to agencies and offering innovative services for the women and their families.

Our vision is to create an innovative, interactive model using best practices and infusing therapeutic and holistic approaches to guide formerly incarcerated women to self-sustaining lifestyles. 

It is our intent for every woman to reconnect with society and her family with the help of our services, revitalize her sense of purpose, and renew her mind; thus, freeing herself from an institutionalized way of living.",(215) 951-0330 ext. 2147,267-281-3733,,www.imfreeonline.org,ImFREEonline@gmail.com,,,,,,,,,,,,,,,,,,,"{'url':'3cb39e2ff850f300b3af16317ac95bd65c5b4db8ded10a4f85ce7866e6b0300b.png','size':15576,'width':432,'height':170,'filename':'ImFree-Logo-1_02.png','metadata':{'width':432,'height':170,'blurHash':'eTQJyGIBD+%M%L~WIUM{oft7^+kpxsoKM}~q%Lt7j[RjR%t6j]WVoc','blurHashWidth':32}}",,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-16T20:57:03.132Z,2024-12-10T21:07:05.660Z
445,Sisters Returning Home,"302 W School House Ln, Philadelphia, PA 19144, USA","40.02888570735785, -75.17817115963439",,,,,,SRH,"Sisters Returning Home is an organization that provides services to the growing population of women who have recently been released from Philadelphia county jails or Pennsylvania State correctional facilities. The organization's client, reentering women, face a unique set of challenges, including homelessness, substance abuse, physical and mental health problems, and a lack of social and familial support. Sisters Returning Home's programming is designed with these challenges in mind in order to provide comprehensive support to meet their clients' needs.

",(215) 900-4202,,,www.sistersreturninghome.org,info@sistersreturninghome.org,,,,,Mon-Thurs 9-5,,,,,,,,,,,,,,"{'url':'d0e838e26d6d1ca876da51ca067163e23ba265552a7a31c2505c8afbd19aadc0.png','size':14939,'width':255,'height':182,'filename':'SRH logo.png','metadata':{'width':255,'height':182,'blurHash':'eiPQHikF?Yxu%MRoWFxZj[of~os*IWj@M|?bobM}ofaxt7oeazoefP','blurHashWidth':32}}",,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-16T20:56:44.382Z,2024-12-10T21:13:59.207Z
444,Youth Sentencing & Reentry Project,,"39.9526, -75.1652",,,,,,YSRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,2024-10-16T20:56:40.711Z,2025-08-20T16:03:52.259Z
443,Community Behavioral Health,"801 Market St, Philadelphia, PA 19107, USA","39.951641153918594, -75.1536918335943",107,,,,,CBH,"For more than 25 years, Community Behavioral Health has been expanding access to mental health services for Philadelphians. CBH provides access to high-quality, accountable care to improve the health and mental wellness of our members.",215-413-3100,,,cbhphilly.org/contact-list/,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,,,,,,,2024-09-22T16:53:29.179Z,2024-09-22T16:53:29.179Z
442,Public Health Management Corporation,"Centre Square, 1500 Market St, Philadelphia, PA 19102, USA","39.95233972046358, -75.16652794323095",106,,,,,PHMC,"Services include: Behavioral Health, Primary Care, and social services to support individuals in their health and wellness goals. ",215-985-2500,,,phmc.org,,,19102,Philadelphia,Centre Square East,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,,,,,,,2024-09-22T16:53:29.168Z,2024-09-22T16:53:29.168Z
441,Heights Philadelphia,"123 S Broad St # 850, Philadelphia, PA 19109, USA","39.94988535693484, -75.1635769700262",105,,,,,,"From middle school onward, students get access to academic, workforce, and college support that breaks down barriers to propel economic mobility.

Individualized advising. Academic enrichment. Internship opportunities. Financial support. We help each student find a path to success through every step of their lives.",215-790-1666,,,,,,19109,Philadelphia,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,,,,,,,2024-09-22T16:53:29.164Z,2024-09-22T16:53:29.164Z
440,Office of Homeless Services,"1401 John F Kennedy Blvd #1030, Philadelphia, PA 19102, USA","39.95416208260039, -75.1644507614079",102,,,,,OHS,"Offers emergency shelters, transitional housing, and support services for individuals experiencing homelessness. ",,,,phila.gov/departments/office-of-homeless-services/,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,,,,,,,2024-09-22T16:53:29.161Z,2024-09-22T16:53:29.161Z
439,Department of Behavioral Health and Intellectual Disability Services,"Aramark Tower, 1101 Market St, Philadelphia, PA 19107, USA","39.952141160434024, -75.15839881971432",101,,,,,DBHIDS,"Provides mental health and substance abuse treatment services to individuals with disabilities, including those experiencing homelessness or re-entering the community.

We embrace a vision of recovery, resilience, and self-determination through a model of care that is directed by the person in recovery. In this model, professional treatment, along with family, individual, and other resources, allows people to manage their own conditions and build their own recovery resources.

We also help people with intellectual disabilities live self-determined lives in their communities by providing quality support and services.",215-685-5400,,,dbhids.org,dbhidscommunications@phila.gov,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,https://maps.app.goo.gl/fYUKkUFFRYhgoDy88,https://www.google.com/maps/embed?pb=!4v1728494089037!6m8!1m7!1sYTYszQmUMxQDQBieEM8xpg!2m2!1d39.9522792243106!2d-75.15822126715962!3f275.8586534967218!4f-1.6828300542715766!5f0.7820865974627469,,,,2024-09-22T16:53:29.158Z,2024-10-16T20:45:17.109Z
438,Reentry Action Coalition,"1800 John F Kennedy Blvd Suite 300, Philadelphia, PA 19103, USA","39.953962871198684, -75.17003317535526",100,,,,,RAC,Advocates for policy changes and provides support services for individuals re-entering the community.,,,,thenrwc.org/conference/,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,,,,,,,2024-09-22T16:53:29.155Z,2024-09-22T16:53:29.155Z
